model,experiment,run,precision_micro,recall_micro,f1_micro,f1_macro,BG_emr,BG_f1_macro,BG_f1_micro,EN_emr,EN_f1_macro,EN_f1_micro,HI_emr,HI_f1_macro,HI_f1_micro,PT_emr,PT_f1_macro,PT_f1_micro,RU_emr,RU_f1_macro,RU_f1_micro,emr
gemma4:26b-a4b-it-q4_K_M,icl_triples,mean,0.4217130272345147,0.5699745547073792,0.48475229558301813,0.3474031464383874,0.3333333333333333,0.27001727228999955,0.5023829548640314,0.13553113553113552,0.3080219472478514,0.3821570978717596,0.29523809523809524,0.22989556172152417,0.450960235969198,0.5862068965517241,0.27657085670408554,0.6846646407640548,0.2868217054263566,0.2678528242023083,0.4620783924418781,0.32781456953642385
gemma4:e4b-it-q4_K_M,icl_triples,1,0.34178403755868547,0.5557251908396946,0.4232558139534884,0.3117451033317931,0.16129032258064516,0.2777777777777778,0.46808510638297873,0.06593406593406594,0.32645254470767665,0.3680555555555556,0.18214285714285713,0.24768882839132864,0.3985239852398524,0.3620689655172414,0.24273907910271542,0.5620915032679739,0.18604651162790697,0.23593285799168154,0.3744292237442922,0.1986754966887417
gemma4:e4b-it-q4_K_M,icl_triples,2,0.3435114503816794,0.549618320610687,0.4227833235466823,0.2877325483365781,0.12903225806451613,0.24618241235888297,0.4090909090909091,0.06593406593406594,0.15628677367578,0.2896551724137931,0.20714285714285716,0.24078206615917416,0.4312736443883985,0.33620689655172414,0.2567497636463154,0.5678233438485805,0.19767441860465115,0.2948200523559375,0.3627906976744186,0.2052980132450331
gemma4:e4b-it-q4_K_M,icl_triples,3,0.3566502463054187,0.5526717557251909,0.43353293413173655,0.30852858570630554,0.16129032258064516,0.29163059163059163,0.47191011235955055,0.07692307692307693,0.2691274376758248,0.3655913978494624,0.20357142857142857,0.25872583778845865,0.41025641025641024,0.3448275862068966,0.24866850321395775,0.56957928802589,0.20930232558139536,0.26397349858533703,0.39436619718309857,0.21026490066225165
gemma4:e4b-it-q4_K_M,icl_triples,mean,0.34731524474859454,0.5526717557251909,0.4265240238773024,0.3026687457915589,0.15053763440860213,0.2718635939224175,0.44969537594447945,0.0695970695970696,0.25062225201976046,0.34110070860627034,0.1976190476190476,0.2490655774463205,0.4133513466282204,0.34770114942528735,0.24938578198766284,0.5664980450474815,0.19767441860465118,0.264908802977652,0.37719537286726984,0.20474613686534215
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_triples,1,0.3349146110056926,0.5389312977099237,0.4131070801638385,0.28567533525169897,0.03225806451612903,0.2596746687655779,0.4835164835164835,0.06593406593406594,0.17262836844176557,0.296028880866426,0.1357142857142857,0.22566008626822567,0.41309823677581864,0.25862068965517243,0.19114809077791983,0.5230769230769231,0.22093023255813954,0.25062276904382164,0.36936936936936937,0.15562913907284767
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_triples,2,0.3361904761904762,0.5389312977099237,0.41407624633431084,0.2866390668695786,0.0967741935483871,0.2962219598583235,0.5111111111111111,0.054945054945054944,0.1562552553348646,0.2815884476534296,0.14642857142857144,0.22573805452820075,0.41309823677581864,0.2672413793103448,0.2211930093591536,0.5386996904024768,0.18604651162790697,0.24945887445887446,0.36199095022624433,0.15894039735099338
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_triples,3,0.330188679245283,0.5343511450381679,0.40816326530612246,0.2879527555450428,0.03225806451612903,0.26423324150596883,0.5,0.054945054945054944,0.17405179783496438,0.296028880866426,0.1392857142857143,0.22161072181849564,0.40601503759398494,0.25,0.18601457131994492,0.5123456790123457,0.16279069767441862,0.25450558213716107,0.36607142857142855,0.1456953642384106
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_triples,mean,0.33376458881381726,0.5374045801526718,0.4117821972680906,0.2867557192221068,0.053763440860215055,0.27337662337662344,0.49820919820919823,0.0586080586080586,0.16764514053719817,0.29121540312876054,0.14047619047619048,0.22433628753830737,0.4107371703818741,0.25862068965517243,0.1994518904856728,0.5247074308305818,0.18992248062015504,0.2515290752132857,0.36581058272234745,0.1534216335540839
mistral:7b,icl_triples,1,0.19341216216216217,0.34961832061068704,0.2490483958673192,0.16576126142353634,0.12903225806451613,0.17471972471972472,0.37777777777777777,0.0,0.17535847990393444,0.22448979591836735,0.02142857142857143,0.1096626549780705,0.23681125439624853,0.08620689655172414,0.140461702587371,0.28405797101449276,0.03488372093023256,0.11364754897508908,0.22568093385214008,0.0380794701986755
mistral:7b,icl_triples,2,0.19508057675996607,0.3511450381679389,0.25081788440567065,0.1586006370702354,0.12903225806451613,0.12864357864357864,0.3516483516483517,0.04395604395604396,0.18790260775906706,0.2534246575342466,0.017857142857142856,0.09522371176414789,0.2206405693950178,0.10344827586206896,0.14409049373176835,0.33136094674556216,0.011627906976744186,0.13361142677686735,0.2074074074074074,0.04304635761589404
mistral:7b,icl_triples,3,0.18197135636057288,0.3297709923664122,0.23452768729641693,0.14709018580786307,0.12903225806451613,0.13986619441164896,0.3076923076923077,0.01098901098901099,0.19113584077811757,0.19727891156462585,0.0035714285714285713,0.09428225575688894,0.2049469964664311,0.04310344827586207,0.134665437558696,0.3142857142857143,0.0,0.11854894956499235,0.24031007751937986,0.018211920529801324
mistral:7b,icl_triples,mean,0.19015469842756705,0.3435114503816794,0.24479798918980225,0.15715069476721158,0.12903225806451613,0.14774316592498413,0.3457061457061457,0.018315018315018316,0.1847989761470397,0.2250644550057466,0.014285714285714285,0.0997228741663691,0.22079960675256582,0.07758620689655173,0.1397392112926118,0.3099015440152564,0.015503875968992248,0.12193597510564959,0.2244661395929758,0.03311258278145695
qwen3:30b-a3b-q4_K_M,icl_triples,1,0.34937439846005774,0.5541984732824428,0.42857142857142855,0.299757369999935,0.1935483870967742,0.19709277650454118,0.37777777777777777,0.10989010989010989,0.2840652016605096,0.379182156133829,0.16071428571428573,0.23633167076810366,0.41802252816020025,0.3879310344827586,0.21090479398951115,0.5639344262295082,0.16279069767441862,0.22073022046284077,0.36363636363636365,0.1986754966887417
qwen3:30b-a3b-q4_K_M,icl_triples,2,0.3432406519654842,0.5465648854961832,0.4216725559481743,0.2787763767075436,0.16129032258064516,0.2667519349337531,0.4175824175824176,0.06593406593406594,0.21670699670699675,0.32592592592592595,0.17142857142857143,0.247470358714681,0.4339152119700748,0.3620689655172414,0.22761747821556433,0.551948051948052,0.1744186046511628,0.18879639825931385,0.31718061674008813,0.19205298013245034
qwen3:30b-a3b-q4_K_M,icl_triples,3,0.35471331389698735,0.5572519083969466,0.4334916864608076,0.30391165915410795,0.22580645161290322,0.2384986225895317,0.40476190476190477,0.04395604395604396,0.2366694576995257,0.373134328358209,0.18571428571428572,0.2557274387139239,0.43018867924528303,0.39655172413793105,0.24242520146106547,0.5760517799352751,0.16279069767441862,0.2274927453498882,0.3333333333333333,0.20364238410596028
qwen3:30b-a3b-q4_K_M,icl_triples,mean,0.34910945477417643,0.5526717557251909,0.4279118903268035,0.29414846862052885,0.19354838709677422,0.234114444675942,0.4000407000407,0.07326007326007326,0.24581388535567736,0.359414136805988,0.17261904761904764,0.2465098227322362,0.42737547312518603,0.382183908045977,0.22698249122204697,0.5639780860376118,0.16666666666666666,0.2123397880240143,0.3380501045699284,0.19812362030905076
qwen3:4b-q4_K_M,icl_triples,1,0.3318632855567806,0.4595419847328244,0.3854033290653009,0.22815058235936056,0.2903225806451613,0.1937229437229437,0.4155844155844156,0.08791208791208792,0.1549106449106449,0.2625482625482625,0.18571428571428572,0.19144275668927532,0.3687002652519894,0.4051724137931034,0.22375807987093255,0.5684210526315789,0.26744186046511625,0.1672676008202324,0.3315508021390374,0.23013245033112584
qwen3:4b-q4_K_M,icl_triples,2,0.35209713024282563,0.4870229007633588,0.40871236386931453,0.2601982397419121,0.3225806451612903,0.275,0.5454545454545454,0.10989010989010989,0.17736051826960916,0.288,0.21428571428571427,0.22929548708124142,0.3951935914552737,0.39655172413793105,0.23853913196474152,0.5559322033898305,0.26744186046511625,0.1594411791546179,0.3368421052631579,0.24668874172185432
qwen3:4b-q4_K_M,icl_triples,3,0.35995500562429694,0.48854961832061067,0.41450777202072536,0.26072561942006117,0.1935483870967742,0.19616315057491526,0.475,0.13186813186813187,0.1786643305082413,0.2737642585551331,0.24285714285714285,0.23401379651707038,0.4180327868852459,0.43103448275862066,0.22548527662335316,0.5673758865248227,0.26744186046511625,0.15823065823065824,0.3422459893048128,0.2632450331125828
qwen3:4b-q4_K_M,icl_triples,mean,0.347971807141301,0.47837150127226463,0.4028744883184469,0.2496914805071113,0.26881720430107525,0.22162869809928631,0.47867965367965365,0.1098901098901099,0.17031183122949844,0.27477084036779853,0.2142857142857143,0.21825068009586238,0.3939755478641697,0.4109195402298851,0.2292608294863424,0.5639097141820774,0.26744186046511625,0.16164647940183619,0.33687963223566936,0.24668874172185432
gemma4:26b-a4b-it-q4_K_M,icl_all_triples,1,0.4232558139534884,0.5557251908396946,0.48052805280528055,0.3360688088347649,0.3225806451612903,0.27323232323232327,0.49382716049382713,0.16483516483516483,0.24371268598857962,0.36507936507936506,0.32857142857142857,0.2373405566829116,0.4526166902404526,0.603448275862069,0.2886716818535,0.6914498141263941,0.27906976744186046,0.24806568357370498,0.4368932038834951,0.34933774834437087
gemma4:26b-a4b-it-q4_K_M,icl_all_triples,2,0.4280701754385965,0.5587786259541985,0.4847682119205298,0.35904373751174457,0.41935483870967744,0.27702020202020206,0.5185185185185185,0.16483516483516483,0.3168772088126927,0.3952569169960474,0.31785714285714284,0.23055985004889437,0.4466571834992888,0.6206896551724138,0.2936071911145225,0.6765799256505576,0.29069767441860467,0.2866502545073974,0.46078431372549017,0.3543046357615894
gemma4:26b-a4b-it-q4_K_M,icl_all_triples,3,0.4324009324009324,0.566412213740458,0.4904163912756114,0.34643438912203234,0.41935483870967744,0.25871549721817105,0.5121951219512195,0.15384615384615385,0.30173096042295733,0.3937007874015748,0.30357142857142855,0.2310986278151438,0.4497878359264498,0.5689655172413793,0.28406758471413646,0.6715867158671587,0.3372093023255814,0.3170672731902679,0.5025125628140703,0.34271523178807944
gemma4:26b-a4b-it-q4_K_M,icl_all_triples,mean,0.42790897393100574,0.5603053435114503,0.4852375520004739,0.34718231182284726,0.38709677419354843,0.2696560074902321,0.5081802669878551,0.16117216117216118,0.28744028507474323,0.38467902315899577,0.31666666666666665,0.2329996781823166,0.44968723655539705,0.5977011494252874,0.28878215256071965,0.6798721518813702,0.3023255813953489,0.28392773709045677,0.4667300268076852,0.3487858719646799
gemma4:e4b-it-q4_K_M,icl_all_triples,1,0.341130604288499,0.5343511450381679,0.4164187983343248,0.3018915874867525,0.0967741935483871,0.24591291061879295,0.37362637362637363,0.07692307692307693,0.21101629760599705,0.3546099290780142,0.22142857142857142,0.26703825835505807,0.4194373401534527,0.2672413793103448,0.22642810945778147,0.549520766773163,0.16279069767441862,0.20879773844720798,0.30985915492957744,0.19370860927152317
gemma4:e4b-it-q4_K_M,icl_all_triples,2,0.3472356935014549,0.5465648854961832,0.4246737841043891,0.3076678584226959,0.0967741935483871,0.24357652151769796,0.4090909090909091,0.0989010989010989,0.22125417660177019,0.35172413793103446,0.2,0.2175801574391628,0.4219948849104859,0.33620689655172414,0.2874193856954904,0.5466237942122186,0.19767441860465115,0.26821269639451456,0.3627906976744186,0.2052980132450331
gemma4:e4b-it-q4_K_M,icl_all_triples,3,0.33462657613967023,0.5267175572519084,0.4092526690391459,0.31218288033748687,0.12903225806451613,0.2400924832743015,0.43478260869565216,0.054945054945054944,0.20804648867937345,0.33793103448275863,0.18571428571428572,0.2508510231292443,0.3902439024390244,0.35344827586206895,0.2486535523300229,0.551948051948052,0.12790697674418605,0.31499132183406886,0.35944700460829493,0.1870860927152318
gemma4:e4b-it-q4_K_M,icl_all_triples,mean,0.34099762464320804,0.5358778625954198,0.41678175049261995,0.30724744208231175,0.10752688172043011,0.24319397180359748,0.405833297137645,0.07692307692307691,0.2134389876290469,0.3480883671639357,0.2023809523809524,0.24515647964115506,0.41055870916765436,0.3189655172413793,0.2541670158277649,0.5493642043111445,0.1627906976744186,0.2640005855585971,0.34403228573743033,0.19536423841059603
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_all_triples,1,0.31514581373471307,0.5114503816793893,0.389988358556461,0.2589679027322219,0.12903225806451613,0.25097402597402596,0.449438202247191,0.06593406593406594,0.18202604523359242,0.2765957446808511,0.12857142857142856,0.20023149267872134,0.3883984867591425,0.25,0.1897306912978163,0.5295950155763239,0.1511627906976744,0.20668965700634845,0.31759656652360513,0.1456953642384106
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_all_triples,2,0.31856738925541944,0.516030534351145,0.3939393939393939,0.25526315779074243,0.12903225806451613,0.2532106782106782,0.4772727272727273,0.054945054945054944,0.15749708286293648,0.25,0.1392857142857143,0.2003952957579462,0.3949367088607595,0.2672413793103448,0.19815175766262724,0.5482866043613707,0.13953488372093023,0.20479624640488245,0.3231441048034934,0.15066225165562913
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_all_triples,3,0.3160377358490566,0.5114503816793893,0.39067055393586003,0.25499946448222316,0.12903225806451613,0.2382034632034632,0.4367816091954023,0.054945054945054944,0.17322849564228873,0.2596491228070175,0.13214285714285715,0.20469802776030022,0.3954659949622166,0.25862068965517243,0.196271893311367,0.5454545454545454,0.12790697674418605,0.18825889357484804,0.30434782608695654,0.14403973509933773
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_all_triples,mean,0.31658364627972974,0.5129770992366413,0.39153276881057164,0.2564101750017292,0.12903225806451613,0.24746272246272247,0.4544975129051069,0.0586080586080586,0.1709172079129392,0.2620816224959562,0.13333333333333333,0.20177493873232258,0.3929337301940395,0.2586206896551724,0.1947181140906035,0.5411120551307467,0.13953488372093023,0.19991493232869298,0.31502949913801837,0.1467991169977925
mistral:7b,icl_all_triples,1,0.16280864197530864,0.32213740458015266,0.21629933367503845,0.1221174807532056,0.03225806451612903,0.08152958152958152,0.18947368421052632,0.03296703296703297,0.11758107667047552,0.20189274447949526,0.03571428571428571,0.11090990763712046,0.23660714285714285,0.05172413793103448,0.10223903135924042,0.21666666666666667,0.023255813953488372,0.10378434540410333,0.17667844522968199,0.03642384105960265
mistral:7b,icl_all_triples,2,0.1884422110552764,0.3435114503816794,0.24337479718766902,0.16809423911636429,0.12903225806451613,0.10950160950160949,0.3146067415730337,0.01098901098901099,0.188115806878623,0.22145328719723184,0.014285714285714285,0.12489497294397478,0.23943661971830985,0.05172413793103448,0.14400294408034348,0.2969187675070028,0.011627906976744186,0.10205230721956406,0.183206106870229,0.026490066225165563
mistral:7b,icl_all_triples,3,0.15034695451040864,0.29770992366412213,0.19979508196721313,0.10990295572188269,0.03225806451612903,0.13426501035196686,0.25,0.02197802197802198,0.102741045689256,0.1858974358974359,0.017857142857142856,0.0863671991064374,0.20636663007683864,0.02586206896551724,0.08630629941812558,0.20903954802259886,0.0,0.08451711510942908,0.16487455197132617,0.018211920529801324
mistral:7b,icl_all_triples,mean,0.16719926918033123,0.32111959287531805,0.2198230709433069,0.13337155853048419,0.06451612903225806,0.10843206712771929,0.25136014192785333,0.02197802197802198,0.13614597641278484,0.20308115585805434,0.02261904761904762,0.10739069322917755,0.2274701308840971,0.04310344827586207,0.11084942495256983,0.2408749940654228,0.011627906976744186,0.09678458924436549,0.17491970135707904,0.02704194260485651
qwen3:30b-a3b-q4_K_M,icl_all_triples,1,0.35499515033947626,0.5587786259541985,0.43416370106761565,0.3068278137646852,0.1935483870967742,0.23186718213456176,0.4044943820224719,0.10989010989010989,0.24524511904894677,0.375,0.17857142857142858,0.2599668967392011,0.4377358490566038,0.4224137931034483,0.23610364561691996,0.5666666666666667,0.1744186046511628,0.20438092610606448,0.33043478260869563,0.2152317880794702
qwen3:30b-a3b-q4_K_M,icl_all_triples,2,0.3493621197252208,0.5435114503816794,0.4253285543608124,0.29492625308111925,0.1935483870967742,0.21923127377672832,0.36363636363636365,0.0989010989010989,0.25192251753516576,0.34944237918215615,0.15714285714285714,0.2237649197602721,0.4075,0.43103448275862066,0.24030124464907077,0.5906040268456376,0.19767441860465115,0.22912976497956733,0.3835616438356164,0.20860927152317882
qwen3:30b-a3b-q4_K_M,icl_all_triples,3,0.35236220472440943,0.5465648854961832,0.42848593656493117,0.3069183861025946,0.25806451612903225,0.25086580086580085,0.4186046511627907,0.10989010989010989,0.24090646778626318,0.3643122676579926,0.17857142857142858,0.24851889321039994,0.41854636591478694,0.3706896551724138,0.23370525243590262,0.5742574257425742,0.20930232558139536,0.20825626393808208,0.34418604651162793,0.21357615894039736
qwen3:30b-a3b-q4_K_M,icl_all_triples,mean,0.35223982492970213,0.549618320610687,0.42932606399778644,0.30289081764946635,0.21505376344086022,0.23398808559236364,0.3955784656072088,0.10622710622710622,0.2460247014567919,0.36291821561338294,0.17142857142857146,0.24408356990329105,0.4212607383237969,0.4080459770114942,0.23670338090063112,0.5771760397516261,0.1937984496124031,0.21392231834123798,0.3527274909853133,0.21247240618101546
qwen3:4b-q4_K_M,icl_all_triples,1,0.33597285067873306,0.4534351145038168,0.38596491228070173,0.24593997108094595,0.25806451612903225,0.18203463203463202,0.3855421686746988,0.0989010989010989,0.1947937668392214,0.2809917355371901,0.20714285714285716,0.22591979850476987,0.3896457765667575,0.4482758620689655,0.21593641123569557,0.5323741007194245,0.20930232558139536,0.1317701460749589,0.297029702970297,0.24006622516556292
qwen3:4b-q4_K_M,icl_all_triples,2,0.33517089305402425,0.46412213740458014,0.3892445582586428,0.23733108194095606,0.25806451612903225,0.2105470287288469,0.46153846153846156,0.12087912087912088,0.1902463857248546,0.30115830115830117,0.17142857142857143,0.22736559907294768,0.3745019920318725,0.4224137931034483,0.19939315686979242,0.5519713261648745,0.22093023255813954,0.1327170485098874,0.3005181347150259,0.22350993377483444
qwen3:4b-q4_K_M,icl_all_triples,3,0.3304628632938644,0.4687022900763359,0.38762626262626265,0.25203748859590935,0.2903225806451613,0.20779220779220778,0.48717948717948717,0.16483516483516483,0.15685364991514722,0.23574144486692014,0.18571428571428572,0.22803152937699328,0.3740053050397878,0.39655172413793105,0.21148100968675132,0.5655172413793104,0.20930232558139536,0.1723290055474125,0.3417085427135678,0.23178807947019867
qwen3:4b-q4_K_M,icl_all_triples,mean,0.33386886900887386,0.4620865139949109,0.3876119110552024,0.2451028472059371,0.26881720430107525,0.20012462285189558,0.44475337246421587,0.1282051282051282,0.18063126749307443,0.2726304938541371,0.1880952380952381,0.22710564231823693,0.3793843578794726,0.42241379310344823,0.20893685926407976,0.5499542227545365,0.21317829457364343,0.14560540004408626,0.31308546013296357,0.23178807947019867
gemma4:26b-a4b-it-q4_K_M,baseline,1,0.42696629213483145,0.5801526717557252,0.4919093851132686,0.3560968126467153,0.22580645161290322,0.28405483405483406,0.4819277108433735,0.15384615384615385,0.3307497537230702,0.41064638783269963,0.30714285714285716,0.2313425018826937,0.45874125874125876,0.5689655172413793,0.2693000985237911,0.6690909090909091,0.313953488372093,0.29391175359554805,0.4784688995215311,0.33112582781456956
